2021-05-19 09:06:14,518 [Worker #17] INFO  InfoLogger - FileData\heatStation_2021051909.txt.txt文件创建成功;创建时间:2021/5/19 9:06:13
 InfoLoggername2021-05-19 09:06:17,073 [Worker #17] INFO  InfoLogger - 换热站能耗文件上传失败！时间为：2021/5/19 9:06:17
 InfoLoggername2021-05-19 09:06:17,346 [Worker #17] INFO  InfoLogger - FileData\HeatSource_2021051909.txt.txt文件创建成功;创建时间:2021/5/19 9:06:17
 InfoLoggername2021-05-19 09:06:19,721 [Worker #17] INFO  InfoLogger - 热源能耗文件上传失败！时间为：2021/5/19 9:06:19
 InfoLoggername2021-05-19 09:06:51,370 [Worker #17] INFO  InfoLogger - 室温实时数据文件上传失败！时间为：2021/5/19 9:06:51
 InfoLoggername2021-05-19 09:48:10,109 [Worker #11] INFO  InfoLogger - FileData\heatStation_2021051909.txt.txt文件创建成功;创建时间:2021/5/19 9:48:09
 InfoLoggername2021-05-19 09:48:12,471 [Worker #11] INFO  InfoLogger - 换热站能耗文件上传失败！时间为：2021/5/19 9:48:12
 InfoLoggername2021-05-19 09:48:12,740 [Worker #11] INFO  InfoLogger - FileData\HeatSource_2021051909.txt.txt文件创建成功;创建时间:2021/5/19 9:48:12
 InfoLoggername2021-05-19 09:48:14,953 [Worker #11] INFO  InfoLogger - 热源能耗文件上传失败！时间为：2021/5/19 9:48:14
 InfoLoggername2021-05-19 09:48:32,480 [Worker #11] INFO  InfoLogger - 室温实时数据文件上传失败！时间为：2021/5/19 9:48:32
 InfoLoggername2021-05-19 10:47:08,207 [Worker #8] INFO  InfoLogger - FileData\heatStation_2021051910.txt.txt文件创建成功;创建时间:2021/5/19 10:47:08
 InfoLoggername2021-05-19 10:47:10,477 [Worker #8] INFO  InfoLogger - 换热站能耗文件上传失败！时间为：2021/5/19 10:47:10
 InfoLoggername2021-05-19 10:47:10,743 [Worker #8] INFO  InfoLogger - FileData\HeatSource_2021051910.txt.txt文件创建成功;创建时间:2021/5/19 10:47:10
 InfoLoggername2021-05-19 10:47:12,948 [Worker #8] INFO  InfoLogger - 热源能耗文件上传失败！时间为：2021/5/19 10:47:12
 InfoLoggername2021-05-19 10:47:30,394 [Worker #8] INFO  InfoLogger - 室温实时数据文件上传失败！时间为：2021/5/19 10:47:30
 InfoLoggername2021-05-19 11:47:09,817 [Worker #7] INFO  InfoLogger - FileData\heatStation_2021051911.txt.txt文件创建成功;创建时间:2021/5/19 11:47:09
 InfoLoggername2021-05-19 11:47:12,057 [Worker #7] INFO  InfoLogger - 换热站能耗文件上传失败！时间为：2021/5/19 11:47:12
 InfoLoggername2021-05-19 11:47:12,321 [Worker #7] INFO  InfoLogger - FileData\HeatSource_2021051911.txt.txt文件创建成功;创建时间:2021/5/19 11:47:12
 InfoLoggername2021-05-19 11:47:14,693 [Worker #7] INFO  InfoLogger - 热源能耗文件上传失败！时间为：2021/5/19 11:47:14
 InfoLoggername2021-05-19 11:47:32,199 [Worker #7] INFO  InfoLogger - 室温实时数据文件上传失败！时间为：2021/5/19 11:47:32
 InfoLoggername2021-05-19 12:47:01,997 [Worker #9] INFO  InfoLogger - FileData\heatStation_2021051912.txt.txt文件创建成功;创建时间:2021/5/19 12:47:01
 InfoLoggername2021-05-19 12:47:04,343 [Worker #9] INFO  InfoLogger - 换热站能耗文件上传失败！时间为：2021/5/19 12:47:04
 InfoLoggername2021-05-19 12:47:04,596 [Worker #9] INFO  InfoLogger - FileData\HeatSource_2021051912.txt.txt文件创建成功;创建时间:2021/5/19 12:47:04
 InfoLoggername2021-05-19 12:47:06,818 [Worker #9] INFO  InfoLogger - 热源能耗文件上传失败！时间为：2021/5/19 12:47:06
 InfoLoggername2021-05-19 12:47:24,123 [Worker #9] INFO  InfoLogger - 室温实时数据文件上传失败！时间为：2021/5/19 12:47:24
 InfoLoggername2021-05-19 13:25:14,621 [50] INFO  InfoLogger - 全局异常过滤器：JsonToken EndArray is not valid for closing JsonType None. Path '', line 1, position 1.
 InfoLoggername2021-05-19 13:47:11,179 [Worker #20] INFO  InfoLogger - FileData\heatStation_2021051913.txt.txt文件创建成功;创建时间:2021/5/19 13:47:11
